City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
179,Port-Gentil,GA,2022-01-07 19:57:01,-0.7193,8.7815,80.56,89,40,10.36
180,Dingle,PH,2022-01-07 19:57:02,10.9995,122.6711,72.59,93,10,6.71
181,Gravelbourg,CA,2022-01-07 19:57:02,49.8834,-106.5512,17.1,91,100,6.87
182,Ambon,ID,2022-01-07 19:57:02,-3.6954,128.1814,80.56,79,89,5.46
183,Akyab,MM,2022-01-07 19:57:03,20.15,92.9,66.79,65,11,5.91
184,Netishyn,UA,2022-01-07 19:57:03,50.34,26.6417,27.54,63,71,6.08
185,Sehithwa,BW,2022-01-07 19:57:03,-20.4667,22.7167,76.26,60,100,10.11
186,Arlit,NE,2022-01-07 19:58:03,18.7369,7.3853,64.74,13,2,8.72
187,Itupiranga,BR,2022-01-07 19:58:04,-5.1347,-49.3267,89.92,88,100,0.34
188,Nassau,US,2022-01-07 19:55:02,40.7507,-73.5829,35.22,58,4,5.01
189,Novaya Mayna,RU,2022-01-07 19:58:04,54.15,49.75,30.24,91,93,10.56
190,Nijar,ES,2022-01-07 19:58:04,36.9665,-2.206,50.65,82,0,5.75
191,Ayagoz,KZ,2022-01-07 19:58:05,47.9714,80.4392,16.02,99,97,3.94
192,Houston,US,2022-01-07 19:56:17,29.7633,-95.3633,51.3,76,51,5.99
193,Muswellbrook,AU,2022-01-07 19:58:05,-32.2667,150.9,67.33,95,100,3.89
194,Talaya,RU,2022-01-07 19:58:05,61.3833,152.75,-16.76,100,100,1.39
195,Port Hedland,AU,2022-01-07 19:58:06,-20.3167,118.5667,84.25,84,40,9.22
196,Chicama,PE,2022-01-07 19:58:06,-7.8447,-79.1469,68.54,62,32,10.87
197,Loandjili,CG,2022-01-07 19:58:06,-4.7561,11.8578,78.91,89,20,4.61
198,Henties Bay,NA,2022-01-07 19:58:07,-22.116,14.2845,60.85,94,4,5.06
199,Verkhoyansk,RU,2022-01-07 19:58:07,67.5447,133.385,-41.53,99,81,2.44
200,Sao Filipe,CV,2022-01-07 19:58:07,14.8961,-24.4956,73.83,69,96,6.24
201,Scarborough,GB,2022-01-07 19:58:07,54.2797,-0.4044,34.54,86,5,1.01
202,Svobodnyy,RU,2022-01-07 19:58:08,51.4,128.1333,-19.12,96,6,6.24
203,Klaksvik,FO,2022-01-07 19:58:08,62.2266,-6.589,32.92,67,10,7.83
204,Tura,IN,2022-01-07 19:58:08,25.5198,90.2201,58.42,54,0,3.0
205,Gornopravdinsk,RU,2022-01-07 19:58:09,60.05,69.9,24.87,97,100,4.32
206,Vila Franca Do Campo,PT,2022-01-07 19:58:09,37.7167,-25.4333,60.19,72,61,6.35
