City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
451,Garissa,KE,78.15,few clouds,-0.4536,39.6401,Sharif Plaza Hotel
452,Calabozo,VE,86.31,broken clouds,8.9242,-67.4293,Hotel Giardini
465,Moranbah,AU,83.52,few clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
468,Batemans Bay,AU,85.19,few clouds,-35.7167,150.1833,Batemans Bay Marina Resort
470,Kununurra,AU,82.38,broken clouds,-15.7667,128.7333,Hotel Kununurra
471,Manokwari,ID,78.58,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
480,Porto Novo,BJ,80.67,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
481,Bria,CF,79.7,overcast clouds,6.5423,21.9863,WFP Guesthouse
485,Isangel,VU,84.31,broken clouds,-19.55,169.2667,Tanna Lodge
487,Boa Vista,BR,85.98,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
501,Swan Hill,AU,87.64,clear sky,-35.3378,143.5544,Lazy River Motor Inn
504,Caravelas,BR,75.65,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
506,Kerema,PG,80.82,overcast clouds,-7.9631,145.7785,Frena Lodge
511,Yeppoon,AU,78.58,scattered clouds,-23.1333,150.7333,Villa Mar Colina
513,Bathurst,AU,78.96,scattered clouds,-33.4166,149.5806,Bathurst Motor Inn
518,Labuhan,ID,78.64,overcast clouds,-6.8844,112.2051,DoubleFAG
521,Carmen,MX,86.04,scattered clouds,18.6333,-91.8333,Hotel Lossandes
523,Manoel Urbano,BR,75.18,broken clouds,-8.8389,-69.2597,Baixada Beira Rio
525,Teshie,GH,82.74,scattered clouds,5.5836,-0.1072,Adinkra Lodge
526,Hobyo,SO,76.77,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
529,Saint-Joseph,RE,75.58,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
530,Tucuman,AR,84.2,haze,-26.8241,-65.2226,Dallas Hotel Tucuman
534,Alofi,NU,84.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
537,Caninde,BR,78.19,overcast clouds,-4.3589,-39.3117,Hotel Casa Grande II
538,Carutapera,BR,75.76,very heavy rain,-1.195,-46.02,Lidera
539,Namatanai,PG,82.9,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
553,Itamaraca,BR,82.45,clear sky,-7.7478,-34.8256,Special K's Bed & Breakfast
563,Auki,SB,82.11,overcast clouds,-8.7676,160.7034,Auki Motel
565,Atambua,ID,77.38,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
566,Freetown,SL,79.92,few clouds,8.484,-13.2299,The Country Lodge Hotel
567,Puerto Escondido,MX,83.23,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
577,Calamar,CO,80.55,overcast clouds,10.2511,-74.9146,Hostal Katyalex
580,Ulladulla,AU,79.77,broken clouds,-35.35,150.4667,Sandpiper Motel
582,Totness,SR,75.96,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
589,Emerald,AU,82.35,scattered clouds,-23.5333,148.1667,The Irish Village
602,Tumaco,CO,78.28,overcast clouds,1.7986,-78.8156,Dafneruben
603,Mayumba,GA,76.93,overcast clouds,-3.432,10.6554,LIKWALE LODGE
605,Durazno,UY,82.81,clear sky,-33.4131,-56.5006,Hotel Santa Cristina
611,Rabaul,PG,81.86,overcast clouds,-4.1967,152.1721,Rabaul Hotel
612,Popondetta,PG,84.78,overcast clouds,-8.7537,148.2534,Timos Transit House
616,Madang,PG,79.65,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
624,Vao,NC,77.38,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
625,Morant Bay,JM,80.22,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
628,Pailon,BO,83.88,broken clouds,-17.65,-62.75,Alojamiento pailon
630,Maceio,BR,78.24,clear sky,-9.6658,-35.7353,Poutur Pousada
632,Punta De Piedra,VE,82.11,overcast clouds,7.6176,-71.4916,Casa 7 Punta de Piedra
633,Cam Ranh,VN,75.16,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
638,Daru,PG,79.23,overcast clouds,-9.0763,143.2092,Daru Lodge
643,Grand Baie,MU,76.44,overcast clouds,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
647,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
648,Llano Largo,PA,81.25,scattered clouds,7.9,-80.4333,Paradise Resort Hotel
651,Santa Rosa,PH,76.1,clear sky,14.3122,121.1114,Erlyn’s Sta Rosa City Home
653,Camocim,BR,80.15,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
656,Ternate,ID,81.25,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
658,Point Pedro,LK,77.41,broken clouds,9.8167,80.2333,Gtr homes
669,Bintulu,MY,75.61,scattered clouds,3.1667,113.0333,900 Boutique INN
670,Palmerston,AU,89.92,broken clouds,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
674,Ixtapa,MX,76.23,broken clouds,20.7,-105.2,Hotel Plaza Providencia
680,Luanda,AO,77.0,broken clouds,-8.8368,13.2343,Hotel Fórum
681,Tautira,PF,82.42,overcast clouds,-17.7333,-149.15,Pension Oaoa
683,Acarau,BR,80.19,overcast clouds,-2.8856,-40.12,castelo pizzaria
684,Sokoni,TZ,81.72,broken clouds,-6.4333,39.55,Ujamaa Beach Resort
690,Hambantota,LK,75.16,light rain,6.1241,81.1185,Bungalow 63
693,Road Town,VG,78.89,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
696,Bonthe,SL,80.19,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
700,Moerai,PF,80.64,broken clouds,-22.4333,-151.3333,Le Manotel
703,Balabac,PH,79.59,scattered clouds,7.9868,117.0645,Sing and Swing Lodge
711,Khartoum,SD,79.02,scattered clouds,15.5518,32.5324,Hotel China
