City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
287,Acari,PE,-15.4311,-74.6158,73.24,87,99,6.44,overcast clouds
288,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,30.79,100,100,0.0,light shower snow
289,Tahe,CN,52.3333,124.7333,-20.15,96,42,3.56,scattered clouds
290,Brownsville,US,25.9018,-97.4975,81.09,78,75,3.0,broken clouds
291,Sarai,RU,53.7458,41.0213,23.04,95,100,14.72,snow
292,Kalabo,ZM,-14.97,22.6814,67.78,92,100,5.17,overcast clouds
293,Qandala,SO,11.472,49.8728,72.93,69,5,5.48,clear sky
294,Tiksi,RU,71.6872,128.8694,-1.7,66,100,22.06,overcast clouds
295,San Jose,US,37.3394,-121.895,67.71,56,20,3.0,few clouds
296,Acapulco,MX,16.8634,-99.8901,82.22,69,75,8.05,broken clouds
297,Quimper,FR,48.0,-4.1,54.61,100,100,20.71,light intensity drizzle
298,Katsuura,JP,35.1333,140.3,49.19,81,100,21.45,overcast clouds
299,Bongor,TD,10.2806,15.3722,74.88,21,32,10.4,scattered clouds
300,Khani,GE,41.9563,42.9566,44.17,62,82,9.37,broken clouds
301,Vasylivka,UA,47.4369,35.2742,38.28,91,100,7.49,overcast clouds
302,Mikhaylovka,RU,50.06,43.2379,25.79,80,100,14.16,overcast clouds
303,Novomikhaylovskiy,RU,44.2581,38.8578,49.69,79,68,8.14,broken clouds
304,Lompoc,US,34.6391,-120.4579,70.79,67,0,9.22,clear sky
305,Teya,RU,60.3778,92.6267,23.05,96,100,5.75,light snow
306,Mount Isa,AU,-20.7333,139.5,92.97,26,54,11.5,broken clouds
307,Galle,LK,6.0367,80.217,75.13,88,100,7.23,overcast clouds
308,Bethanien,NA,-26.502,17.1583,70.75,72,16,9.28,few clouds
309,Alice Springs,AU,-23.7,133.8833,92.75,13,0,8.05,clear sky
310,San Carlos De Bariloche,AR,-41.1456,-71.3082,71.35,35,20,23.02,few clouds
311,Dukat,RU,62.55,155.55,-12.91,97,56,4.14,broken clouds
312,Khandyga,RU,62.6667,135.6,-40.9,98,89,0.49,overcast clouds
313,Vesyegonsk,RU,58.664,37.2604,11.19,98,100,1.99,overcast clouds
314,Atar,MR,20.5169,-13.0499,67.33,12,100,7.23,overcast clouds
315,Novobirilyussy,RU,56.9514,90.6661,21.87,93,100,13.49,light snow
316,Krasnorechenskiy,RU,44.6265,135.3532,-7.29,89,4,5.3,clear sky
317,Huarmey,PE,-10.0681,-78.1522,73.44,76,14,10.65,few clouds
318,Fukue,JP,32.6881,128.8419,51.28,58,39,8.57,scattered clouds
319,Wilmington,US,34.2257,-77.9447,66.11,72,0,10.36,clear sky
320,Nueva Loja,EC,0.0847,-76.8828,79.97,69,98,2.48,overcast clouds
321,Darlington,GB,54.5243,-1.5504,45.19,85,78,4.72,broken clouds
322,Sungaipenuh,ID,-2.0833,101.3833,64.62,97,99,2.21,overcast clouds
323,Rincon,US,32.296,-81.2354,71.13,79,40,11.5,scattered clouds
324,Talnakh,RU,69.4865,88.3972,-3.8,98,100,3.24,light snow
325,Najran,SA,17.4924,44.1277,57.16,33,0,1.14,clear sky
326,Itoman,JP,26.1247,127.6694,64.42,77,75,5.75,broken clouds
327,Awbari,LY,26.5921,12.7805,44.83,36,0,7.85,clear sky
328,Staraya Poltavka,RU,50.4772,46.4814,18.86,84,100,11.45,overcast clouds
329,Tortoli,IT,39.9256,9.6572,52.99,66,82,18.37,broken clouds
330,Tazovskiy,RU,67.4667,78.7,-10.43,97,100,9.8,overcast clouds
331,La Grande,US,45.3246,-118.0877,37.94,66,46,8.43,scattered clouds
332,Waddan,LY,29.1614,16.139,48.65,46,18,9.33,few clouds
333,Bubaque,GW,11.2833,-15.8333,79.68,69,96,18.54,overcast clouds
334,Kasongo-Lunda,CD,-6.4667,16.8167,70.45,97,98,0.89,overcast clouds
335,Dawlatabad,AF,36.4141,64.9053,39.56,79,19,2.44,few clouds
336,Faya,SA,18.3851,42.4509,54.12,59,3,2.91,clear sky
337,Los Algarrobos,PA,8.5,-82.4333,81.01,74,20,6.91,few clouds
338,Dengzhou,CN,37.8086,120.7508,34.66,63,100,3.33,overcast clouds
339,Tall Kayf,TR,37.0833,41.0667,50.32,58,98,15.61,overcast clouds
340,Severo-Yeniseyskiy,RU,60.3725,93.0408,19.9,96,100,6.76,light snow
341,Kavaratti,IN,10.5669,72.642,79.65,67,6,7.09,clear sky
